,,,,,Toilet-trained? Yes or No,Able to feed themselves independently? Yes or No,Attended some form of pre-school provision? Yes or No,Communication & Language (CLL),Communication & Language (CLL),"Personal, Social & Emotional Devt. (PSED)","Personal, Social & Emotional Devt. (PSED)","Personal, Social & Emotional Devt. (PSED)",Physical Devt. (PD),Physical Devt. (PD)
123456,W829165859436,Ava,Brown,10/08/2022,No,Yes,No,Range 2,Range 4,Range 6,Range 1,Range 2,Range 5,Range 3
123456,W673052967251,Oscar,Davies,21/04/2022,Yes,Yes,No,Range 2,Range 3,Range 5,Range 2,Range 5,Range 6,Range 3
123456,W921292192518,Sophia,Thompson,08/10/2021,No,Yes,Yes,Range 3,Range 1,Range 1,Range 3,Range 1,Range 2,Range 3
123456,W875160022117,Sophia,Robinson,27/04/2022,Yes,Yes,Yes,Range 4,Range 2,Range 5,Range 6,Range 2,Range 5,Range 1
123456,W539109897922,Isabella,Wright,20/08/2022,Yes,No,Yes,Range 5,Range 2,Range 6,Range 1,Range 5,Range 4,Range 5
123456,W351507426696,Jack,Walker,27/08/2022,No,Yes,Yes,Range 6,Range 4,Range 3,Range 1,Range 1,Range 5,Range 6
123456,W900873904004,Harry,Smith,22/11/2021,Yes,No,Yes,Range 1,Range 6,Range 5,Range 6,Range 4,Range 3,Range 1
123456,W554921604181,George,Taylor,28/11/2021,No,Yes,No,Range 4,Range 5,Range 4,Range 6,Range 4,Range 4,Range 5
123456,W124670872386,George,Green,11/01/2022,No,Yes,No,Range 3,Range 2,Range 3,Range 2,Range 3,Range 1,Range 5
123456,W364500738006,Arthur,Jones,08/10/2021,No,Yes,Yes,Range 3,Range 1,Range 6,Range 3,Range 6,Range 4,Range 1
123456,W606454260517,Jack,Williams,04/07/2022,No,Yes,No,Range 2,Range 6,Range 4,Range 2,Range 5,Range 4,Range 6
123456,W329199724895,Jack,Brown,30/12/2021,Yes,Yes,No,Range 4,Range 4,Range 3,Range 5,Range 1,Range 4,Range 4
123456,W812307217074,Oliver,Roberts,12/02/2022,Yes,No,Yes,Range 2,Range 6,Range 5,Range 4,Range 3,Range 3,Range 4
123456,W821371144907,Noah,Wilson,16/08/2022,Yes,Yes,Yes,Range 3,Range 3,Range 4,Range 3,Range 2,Range 4,Range 4
123456,W632722136094,Olivia,Jones,30/03/2022,Yes,No,No,Range 2,Range 5,Range 1,Range 4,Range 3,Range 4,Range 6
123456,W506853190918,George,Wood,10/01/2022,Yes,No,Yes,Range 2,Range 4,Range 4,Range 3,Range 4,Range 6,Range 1
123456,W910578940118,Isla,Johnson,14/11/2021,No,Yes,Yes,Range 6,Range 1,Range 3,Range 3,Range 4,Range 5,Range 5
123456,W230159741883,Isla,Davies,19/08/2022,Yes,No,Yes,Range 6,Range 5,Range 6,Range 6,Range 1,Range 3,Range 3
123456,W958508522312,Ivy,Green,03/02/2022,Yes,No,Yes,Range 2,Range 4,Range 1,Range 6,Range 4,Range 5,Range 5
123456,W288766595600,Archie,Brown,20/05/2022,Yes,Yes,Yes,Range 2,Range 3,Range 4,Range 4,Range 6,Range 4,Range 2
123456,W854829892182,Ava,Williams,24/05/2022,No,Yes,No,Range 2,Range 1,Range 2,Range 2,Range 1,Range 6,Range 4
123456,W276769896276,Oscar,Robinson,30/12/2021,Yes,Yes,Yes,Range 4,Range 4,Range 6,Range 6,Range 2,Range 4,Range 4
123456,W329752241627,Harry,Jackson,03/07/2022,Yes,No,No,Range 6,Range 1,Range 3,Range 1,Range 5,Range 6,Range 3
123456,W246031335061,Rosie,Wilson,14/06/2022,No,Yes,No,Range 5,Range 6,Range 2,Range 1,Range 2,Range 1,Range 5
123456,W572860666250,Jack,Roberts,23/04/2022,No,No,No,Range 2,Range 4,Range 4,Range 5,Range 2,Range 2,Range 5
123456,W992693822007,Noah,Robinson,23/10/2021,Yes,No,No,Range 4,Range 6,Range 3,Range 4,Range 4,Range 5,Range 3
123456,W878582851202,Isabella,Evans,27/03/2022,No,No,No,Range 2,Range 4,Range 1,Range 1,Range 2,Range 3,Range 5
123456,W631913534852,Isla,Jones,10/04/2022,Yes,No,Yes,Range 4,Range 1,Range 2,Range 4,Range 4,Range 2,Range 1
123456,W919343693752,Rosie,Brown,12/05/2022,No,No,Yes,Range 6,Range 3,Range 6,Range 3,Range 6,Range 3,Range 6
123456,W806554071061,Mia,Thompson,21/06/2022,No,Yes,Yes,Range 6,Range 2,Range 2,Range 4,Range 2,Range 2,Range 2
123456,W758966665299,Oliver,Smith,09/01/2022,Yes,No,No,Range 5,Range 1,Range 6,Range 2,Range 6,Range 6,Range 1
123456,W749240087412,Sophia,Hall,10/11/2021,Yes,No,No,Range 6,Range 1,Range 3,Range 5,Range 2,Range 5,Range 3
123456,W580479472991,Mia,Evans,03/08/2022,No,No,Yes,Range 6,Range 3,Range 6,Range 4,Range 2,Range 4,Range 1
123456,W305047608266,Mia,Williams,13/08/2022,Yes,No,Yes,Range 4,Range 4,Range 5,Range 2,Range 4,Range 5,Range 1
123456,W411248792621,Arthur,Jones,04/10/2021,Yes,Yes,No,Range 2,Range 1,Range 4,Range 3,Range 5,Range 1,Range 5
123456,W565977950521,Oliver,Hall,17/09/2021,No,Yes,Yes,Range 2,Range 1,Range 6,Range 5,Range 4,Range 3,Range 6
123456,W513326982431,Arthur,Evans,04/08/2022,No,Yes,Yes,Range 2,Range 4,Range 3,Range 3,Range 4,Range 2,Range 4
123456,W309273152207,Ava,Hall,03/05/2022,No,No,No,Range 2,Range 5,Range 1,Range 2,Range 5,Range 4,Range 6
123456,W663171142523,Archie,Jackson,19/05/2022,Yes,No,No,Range 6,Range 3,Range 1,Range 3,Range 2,Range 4,Range 2
123456,W667023408041,Olivia,Jackson,31/10/2021,No,No,Yes,Range 2,Range 3,Range 4,Range 4,Range 3,Range 1,Range 1
123456,W178912227397,Oscar,Roberts,27/05/2022,No,No,No,Range 5,Range 6,Range 4,Range 3,Range 1,Range 2,Range 5
123456,W693597384096,Mia,Thompson,16/08/2022,No,No,No,Range 2,Range 6,Range 5,Range 6,Range 3,Range 6,Range 6
123456,W420081584172,Jack,Evans,20/12/2021,Yes,No,No,Range 2,Range 6,Range 2,Range 5,Range 6,Range 1,Range 1
123456,W416220670902,Mia,Williams,17/07/2022,Yes,Yes,Yes,Range 5,Range 1,Range 6,Range 4,Range 3,Range 6,Range 5
123456,W216221205339,Rosie,Jackson,20/01/2022,Yes,No,Yes,Range 6,Range 1,Range 2,Range 3,Range 6,Range 1,Range 4
123456,W677177181234,Arthur,Robinson,14/03/2022,No,No,Yes,Range 6,Range 5,Range 5,Range 1,Range 5,Range 2,Range 2
123456,W234726081632,Ava,Green,03/11/2021,No,Yes,No,Range 5,Range 5,Range 1,Range 6,Range 2,Range 4,Range 4
123456,W935047532640,Leo,Evans,09/11/2021,No,No,No,Range 6,Range 1,Range 2,Range 6,Range 3,Range 2,Range 6
123456,W979681038416,Noah,White,21/03/2022,Yes,Yes,No,Range 1,Range 5,Range 5,Range 2,Range 2,Range 1,Range 4
123456,W540105324783,Amelia,Hall,25/11/2021,Yes,No,No,Range 1,Range 6,Range 5,Range 2,Range 2,Range 6,Range 4
123456,W583612658298,Sophia,Clarke,04/10/2021,Yes,Yes,Yes,Range 5,Range 6,Range 2,Range 2,Range 6,Range 4,Range 6
123456,W293194668339,Noah,Green,26/01/2022,Yes,No,Yes,Range 6,Range 5,Range 1,Range 6,Range 1,Range 5,Range 1
123456,W538554688317,Muhammad,Wilson,14/01/2022,No,No,No,Range 1,Range 4,Range 2,Range 3,Range 5,Range 1,Range 6
123456,W850174164141,Olivia,Green,24/10/2021,Yes,No,Yes,Range 2,Range 6,Range 5,Range 6,Range 2,Range 2,Range 3
123456,W371565732602,Lily,Davies,07/05/2022,No,Yes,Yes,Range 5,Range 5,Range 3,Range 1,Range 1,Range 5,Range 6
123456,W383185955532,Isla,Davies,25/12/2021,Yes,No,No,Range 4,Range 4,Range 4,Range 4,Range 6,Range 6,Range 1
123456,W412825457015,Leo,Evans,07/03/2022,No,Yes,No,Range 1,Range 5,Range 6,Range 4,Range 6,Range 6,Range 2
123456,W257178578508,Noah,Walker,05/05/2022,No,Yes,Yes,Range 6,Range 2,Range 2,Range 6,Range 4,Range 4,Range 1
123456,W336216399878,Oliver,Taylor,02/10/2021,Yes,No,Yes,Range 1,Range 2,Range 6,Range 3,Range 1,Range 4,Range 5
123456,W315624277394,Lily,Jones,01/09/2021,Yes,Yes,No,Range 3,Range 2,Range 5,Range 4,Range 3,Range 1,Range 3
123456,W406324342606,Arthur,Taylor,18/07/2022,Yes,No,Yes,Range 6,Range 3,Range 5,Range 6,Range 2,Range 5,Range 6
123456,W386525504161,Harry,Taylor,25/08/2022,Yes,Yes,Yes,Range 5,Range 4,Range 3,Range 6,Range 5,Range 3,Range 3
123456,W525497222349,Isabella,Evans,25/12/2021,No,Yes,Yes,Range 5,Range 5,Range 4,Range 1,Range 4,Range 1,Range 2
123456,W154223102112,Olivia,Thompson,27/12/2021,No,Yes,No,Range 6,Range 4,Range 3,Range 3,Range 6,Range 2,Range 4
123456,W546487807030,Mia,Wood,14/06/2022,No,Yes,No,Range 5,Range 2,Range 3,Range 3,Range 1,Range 5,Range 4
123456,W766990789065,Mia,Johnson,14/02/2022,No,No,No,Range 1,Range 5,Range 6,Range 2,Range 6,Range 6,Range 6
123456,W428826371330,Jack,Wilson,26/01/2022,No,Yes,Yes,Range 5,Range 3,Range 4,Range 5,Range 6,Range 3,Range 6
123456,W669747702026,Harry,Walker,17/11/2021,No,No,Yes,Range 5,Range 6,Range 5,Range 5,Range 3,Range 6,Range 3
123456,W702738560883,Arthur,Taylor,11/09/2021,Yes,No,Yes,Range 2,Range 1,Range 4,Range 5,Range 1,Range 2,Range 5
123456,W363549061091,Amelia,Green,24/02/2022,Yes,No,Yes,Range 3,Range 4,Range 4,Range 2,Range 4,Range 2,Range 2
123456,W842831502903,George,Clarke,08/05/2022,Yes,Yes,No,Range 3,Range 1,Range 2,Range 4,Range 4,Range 5,Range 5
123456,W878172531458,Rosie,White,29/10/2021,No,Yes,No,Range 1,Range 5,Range 1,Range 6,Range 1,Range 3,Range 2
123456,W545458312831,Jack,Walker,08/05/2022,Yes,No,Yes,Range 4,Range 3,Range 6,Range 5,Range 5,Range 4,Range 6
123456,W309697053436,Muhammad,Wilson,19/06/2022,No,No,No,Range 1,Range 2,Range 3,Range 1,Range 4,Range 3,Range 2
123456,W172213970658,Oliver,Wright,25/06/2022,No,Yes,Yes,Range 6,Range 5,Range 2,Range 1,Range 6,Range 4,Range 2
123456,W969098179042,Archie,Walker,13/04/2022,No,Yes,No,Range 3,Range 6,Range 4,Range 4,Range 6,Range 1,Range 5
123456,W646484414311,Archie,Wilson,16/09/2021,Yes,No,Yes,Range 5,Range 1,Range 1,Range 6,Range 6,Range 5,Range 4
123456,W450542419043,Oscar,Wilson,18/12/2021,No,No,No,Range 3,Range 2,Range 5,Range 6,Range 1,Range 5,Range 5
123456,W703944631709,Harry,Wood,16/07/2022,No,Yes,Yes,Range 5,Range 5,Range 1,Range 3,Range 1,Range 6,Range 6
123456,W694925225883,Olivia,Jackson,14/10/2021,Yes,No,No,Range 2,Range 4,Range 1,Range 6,Range 5,Range 2,Range 2
123456,W783883605936,Harry,Roberts,15/03/2022,Yes,Yes,Yes,Range 5,Range 6,Range 4,Range 3,Range 3,Range 3,Range 3
123456,W657974500235,Ivy,Jackson,21/02/2022,Yes,No,No,Range 4,Range 4,Range 4,Range 1,Range 3,Range 3,Range 6
123456,W671796129033,Mia,Evans,06/03/2022,Yes,No,No,Range 6,Range 3,Range 3,Range 5,Range 3,Range 3,Range 4
123456,W212560227135,Isabella,Roberts,27/12/2021,No,Yes,No,Range 4,Range 2,Range 1,Range 6,Range 6,Range 1,Range 1
123456,W983205097774,Rosie,Taylor,01/08/2022,Yes,No,Yes,Range 1,Range 1,Range 5,Range 6,Range 4,Range 6,Range 5
123456,W303363931332,Olivia,Walker,12/07/2022,No,Yes,No,Range 3,Range 1,Range 3,Range 4,Range 3,Range 1,Range 3
123456,W465420579355,Oscar,Brown,08/04/2022,No,No,No,Range 6,Range 6,Range 2,Range 4,Range 5,Range 5,Range 1
123456,W743004871233,George,Jones,19/01/2022,Yes,No,Yes,Range 2,Range 1,Range 4,Range 2,Range 3,Range 6,Range 2
123456,W396919920297,Jack,Brown,19/07/2022,Yes,Yes,Yes,Range 2,Range 6,Range 5,Range 3,Range 2,Range 2,Range 2
123456,W265466498297,Oscar,White,26/12/2021,No,Yes,No,Range 4,Range 2,Range 5,Range 3,Range 2,Range 5,Range 3
123456,W403172429544,Arthur,Walker,22/08/2022,No,No,Yes,Range 4,Range 1,Range 1,Range 3,Range 2,Range 4,Range 2
123456,W267753149130,Olivia,Davies,28/10/2021,No,No,No,Range 3,Range 2,Range 2,Range 2,Range 6,Range 1,Range 6
123456,W794449994340,Arthur,Thompson,19/06/2022,Yes,No,No,Range 3,Range 1,Range 4,Range 5,Range 4,Range 1,Range 6
123456,W854419003102,Arthur,Wilson,01/12/2021,No,Yes,No,Range 5,Range 5,Range 6,Range 4,Range 5,Range 6,Range 2
123456,W508351011205,Ava,Green,11/01/2022,No,Yes,No,Range 5,Range 6,Range 5,Range 4,Range 5,Range 2,Range 3
123456,W815914049639,Archie,Robinson,06/05/2022,No,No,No,Range 4,Range 3,Range 3,Range 1,Range 3,Range 3,Range 2
123456,W358063106956,Jack,Johnson,30/01/2022,Yes,No,No,Range 5,Range 4,Range 3,Range 3,Range 4,Range 1,Range 3
123456,W306567270871,Sophia,Clarke,29/10/2021,Yes,No,Yes,Range 2,Range 6,Range 2,Range 1,Range 5,Range 4,Range 2
123456,W782314272085,Rosie,Thompson,30/12/2021,Yes,No,Yes,Range 4,Range 2,Range 1,Range 2,Range 5,Range 5,Range 1
123456,W528952631201,Mia,Walker,19/11/2021,No,No,No,Range 2,Range 1,Range 6,Range 4,Range 4,Range 5,Range 4
123456,W271174245139,Ava,White,27/11/2021,No,No,No,Range 6,Range 6,Range 4,Range 6,Range 4,Range 1,Range 3
123456,W872873982193,Ava,Williams,07/01/2022,No,Yes,No,Range 2,Range 4,Range 4,Range 3,Range 2,Range 2,Range 4
123456,W648099241473,Noah,Davies,05/01/2022,No,No,Yes,Range 4,Range 5,Range 2,Range 2,Range 6,Range 2,Range 6
123456,W926176257210,Rosie,Wright,26/07/2022,No,No,Yes,Range 4,Range 5,Range 2,Range 2,Range 2,Range 1,Range 5
123456,W989865471214,Mia,Johnson,01/09/2021,Yes,No,No,Range 5,Range 1,Range 6,Range 3,Range 6,Range 3,Range 3
123456,W239089508546,Muhammad,Taylor,10/11/2021,No,Yes,Yes,Range 2,Range 5,Range 3,Range 5,Range 3,Range 2,Range 3
123456,W256879949243,Leo,Roberts,10/07/2022,No,Yes,No,Range 5,Range 3,Range 4,Range 1,Range 5,Range 6,Range 3
123456,W835276952062,Noah,Green,22/03/2022,Yes,No,Yes,Range 6,Range 6,Range 3,Range 2,Range 1,Range 5,Range 5
123456,W646877272604,Arthur,Thompson,14/05/2022,Yes,Yes,No,Range 2,Range 6,Range 2,Range 5,Range 2,Range 4,Range 5
123456,W117588761580,Arthur,Williams,23/02/2022,No,No,Yes,Range 3,Range 6,Range 4,Range 6,Range 3,Range 2,Range 5
123456,W360054622499,Leo,Wright,26/04/2022,No,No,No,Range 3,Range 1,Range 3,Range 5,Range 1,Range 6,Range 4
123456,W100079493404,Arthur,Clarke,16/01/2022,Yes,No,Yes,Range 3,Range 5,Range 3,Range 3,Range 2,Range 5,Range 4
123456,W890137428346,Jack,Taylor,18/07/2022,Yes,Yes,No,Range 3,Range 6,Range 2,Range 6,Range 6,Range 1,Range 1
123456,W843709875942,Mia,Hall,04/05/2022,Yes,No,No,Range 1,Range 5,Range 1,Range 3,Range 4,Range 4,Range 1
123456,W990718723962,Ivy,Hall,03/06/2022,No,No,Yes,Range 5,Range 5,Range 6,Range 1,Range 4,Range 6,Range 3
123456,W303098364509,Arthur,Clarke,05/01/2022,No,Yes,Yes,Range 4,Range 1,Range 3,Range 6,Range 3,Range 2,Range 3
123456,W537978323352,Arthur,White,01/02/2022,No,No,No,Range 6,Range 1,Range 2,Range 6,Range 4,Range 2,Range 4
123456,W549048812275,Archie,Hall,16/03/2022,No,No,No,Range 2,Range 4,Range 3,Range 4,Range 1,Range 1,Range 5
123456,W838108888224,Archie,Green,22/05/2022,No,No,Yes,Range 5,Range 3,Range 5,Range 1,Range 4,Range 6,Range 3
123456,W774209357706,Leo,Hall,23/11/2021,Yes,No,Yes,Range 6,Range 1,Range 3,Range 2,Range 2,Range 4,Range 6
123456,W168858781459,Archie,Wilson,01/02/2022,No,Yes,No,Range 4,Range 4,Range 5,Range 6,Range 4,Range 2,Range 6
123456,W368359771856,Rosie,Wood,28/10/2021,Yes,No,No,Range 4,Range 4,Range 6,Range 5,Range 1,Range 1,Range 3
123456,W748475416141,Jack,Jackson,03/10/2021,Yes,No,Yes,Range 5,Range 6,Range 3,Range 1,Range 1,Range 3,Range 2
123456,W546720794333,Jack,Roberts,05/05/2022,No,No,Yes,Range 5,Range 3,Range 6,Range 5,Range 3,Range 2,Range 1
123456,W438064958240,Leo,Wood,08/07/2022,No,Yes,Yes,Range 6,Range 6,Range 1,Range 5,Range 1,Range 1,Range 3
123456,W910880280789,Mia,Clarke,29/08/2022,Yes,No,No,Range 4,Range 3,Range 6,Range 2,Range 3,Range 2,Range 4
123456,W223145616969,Lily,Wilson,05/11/2021,No,No,No,Range 2,Range 1,Range 2,Range 4,Range 1,Range 6,Range 1
123456,W627572863244,Ava,Robinson,21/09/2021,No,Yes,No,Range 6,Range 5,Range 5,Range 1,Range 3,Range 2,Range 4
123456,W811347404409,Leo,Jones,24/08/2022,No,Yes,Yes,Range 3,Range 5,Range 6,Range 6,Range 1,Range 6,Range 6
123456,W488575088641,Leo,Jones,18/08/2022,No,Yes,No,Range 6,Range 3,Range 1,Range 5,Range 1,Range 3,Range 4
123456,W828885388900,Ava,Johnson,07/04/2022,No,No,Yes,Range 2,Range 6,Range 4,Range 5,Range 5,Range 1,Range 4
123456,W364239128102,Oscar,Jones,04/02/2022,No,Yes,No,Range 2,Range 5,Range 1,Range 4,Range 6,Range 5,Range 1
123456,W276979528590,Archie,White,12/09/2021,Yes,Yes,Yes,Range 3,Range 6,Range 1,Range 4,Range 3,Range 6,Range 6
123456,W538090338881,Sophia,Green,22/12/2021,No,No,No,Range 3,Range 5,Range 4,Range 5,Range 4,Range 5,Range 5
123456,W734051439864,Isla,Clarke,23/05/2022,No,Yes,No,Range 3,Range 2,Range 5,Range 6,Range 5,Range 1,Range 2
123456,W313136715611,Arthur,Davies,27/04/2022,No,Yes,No,Range 4,Range 5,Range 3,Range 1,Range 1,Range 4,Range 5
123456,W830257331139,Noah,Roberts,28/09/2021,No,No,Yes,Range 3,Range 1,Range 6,Range 4,Range 1,Range 4,Range 2
123456,W993736218211,Isla,Johnson,13/11/2021,No,No,No,Range 2,Range 3,Range 4,Range 3,Range 2,Range 1,Range 2
123456,W495591241618,Mia,Davies,15/04/2022,Yes,Yes,Yes,Range 6,Range 5,Range 1,Range 6,Range 3,Range 6,Range 2
123456,W884461236396,Amelia,Roberts,16/11/2021,Yes,No,Yes,Range 2,Range 6,Range 3,Range 1,Range 4,Range 5,Range 5
123456,W222551060854,George,Johnson,23/01/2022,No,No,No,Range 3,Range 4,Range 6,Range 1,Range 4,Range 5,Range 4
123456,W640083587697,Amelia,Jones,25/10/2021,No,Yes,Yes,Range 5,Range 1,Range 5,Range 6,Range 3,Range 6,Range 5
123456,W492587902808,Jack,Williams,06/07/2022,No,No,No,Range 6,Range 5,Range 3,Range 3,Range 1,Range 1,Range 5
123456,W892842567831,Olivia,Walker,28/06/2022,No,Yes,Yes,Range 3,Range 4,Range 2,Range 4,Range 6,Range 1,Range 4
123456,W630597960954,Arthur,Taylor,18/09/2021,Yes,No,No,Range 6,Range 1,Range 1,Range 4,Range 6,Range 5,Range 6
123456,W597079375558,Mia,Taylor,05/08/2022,Yes,Yes,Yes,Range 1,Range 5,Range 2,Range 6,Range 3,Range 1,Range 5
123456,W656472409224,Ivy,Evans,04/12/2021,No,Yes,No,Range 4,Range 6,Range 2,Range 2,Range 5,Range 6,Range 6
123456,W332430187997,Ava,Hall,30/08/2022,Yes,No,No,Range 1,Range 6,Range 4,Range 6,Range 1,Range 4,Range 3
123456,W234036777939,Oliver,Robinson,09/11/2021,No,Yes,No,Range 4,Range 6,Range 2,Range 4,Range 4,Range 5,Range 5
123456,W853788990430,Isabella,Wright,17/10/2021,No,Yes,No,Range 6,Range 5,Range 3,Range 6,Range 4,Range 2,Range 4
123456,W128662138875,Mia,Wilson,12/07/2022,No,Yes,Yes,Range 4,Range 2,Range 4,Range 2,Range 4,Range 3,Range 6
123456,W362045462995,George,Evans,08/02/2022,No,Yes,Yes,Range 2,Range 5,Range 2,Range 5,Range 6,Range 6,Range 5
123456,W370555736096,Mia,Hall,02/02/2022,No,No,Yes,Range 4,Range 3,Range 6,Range 1,Range 2,Range 3,Range 4
123456,W410692791828,Muhammad,Green,09/07/2022,No,Yes,No,Range 5,Range 1,Range 1,Range 5,Range 2,Range 1,Range 4
123456,W484585242524,Harry,Smith,17/10/2021,Yes,Yes,No,Range 5,Range 3,Range 5,Range 3,Range 1,Range 3,Range 5
123456,W114036461028,Isla,Johnson,02/03/2022,Yes,No,No,Range 5,Range 4,Range 5,Range 2,Range 3,Range 6,Range 1
123456,W926940566977,Oliver,Green,16/09/2021,Yes,Yes,Yes,Range 4,Range 3,Range 3,Range 2,Range 4,Range 3,Range 6
123456,W170900429500,Muhammad,Thompson,25/02/2022,No,No,No,Range 4,Range 5,Range 2,Range 2,Range 1,Range 3,Range 6
123456,W323619280548,Rosie,Evans,05/05/2022,Yes,No,Yes,Range 6,Range 4,Range 1,Range 2,Range 3,Range 4,Range 3
123456,W951605664346,Jack,Jones,24/03/2022,Yes,No,No,Range 4,Range 6,Range 5,Range 2,Range 3,Range 5,Range 1
123456,W229011815183,Ava,Clarke,15/12/2021,No,Yes,Yes,Range 3,Range 6,Range 6,Range 1,Range 6,Range 4,Range 5
123456,W926879489045,Noah,Johnson,22/10/2021,Yes,No,Yes,Range 3,Range 4,Range 2,Range 6,Range 4,Range 4,Range 3
123456,W672683031617,Jack,Taylor,20/05/2022,No,Yes,No,Range 2,Range 6,Range 2,Range 1,Range 1,Range 2,Range 1
